timestamp,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,attitude.x,attitude.y,attitude.z
5714999999,41.49930519647035,34.00034203054636,-2.0194305850385748,-2.5616159209504743,0.3243659902252342,-0.01506365900201212,0.055883932778244536,0.06607248280981465,3.093615622188105
5719999999,41.48598087473293,34.002022415951494,-2.019509225430745,-2.5549226322654754,0.32090250772078316,-0.015134282165838984,0.055959020526727736,0.06651068403782373,3.0942919262556963
5724999999,41.472691429281326,34.00368477024611,-2.0195882346517546,-2.548223450389427,0.3174420463622689,-0.015205382271268535,0.05603344898204584,0.06694455952450643,3.0949687852011523
5729999999,41.462085004267216,34.00500168188286,-2.0196517100880045,-2.5428599439944373,0.3146758635441948,-0.015262964948489485,0.056092488594935735,0.06728912867776674,3.0955106007752526
5734999999,41.44885841214509,34.00663162014347,-2.0197313923416496,-2.53615051509061,0.31122096708704533,-0.015334815874647743,0.05616564687078839,0.06771732737194906,3.096188393737926
5739999999,41.4356667791991,34.00824357256585,-2.0198114463163135,-2.5294356373983895,0.3077693019929033,-0.015405830492631202,0.05623815337275566,0.0681416671054001,3.0968668776703088
5744999999,41.422510133498164,34.009837555990835,-2.019891869499896,-2.522715436790695,0.3043208734489096,-0.015476697632987962,0.05631004054262573,0.06856147710123275,3.097546008504752
5749999999,41.40938850239154,34.01141358729981,-2.0199726627079055,-2.5159900560767334,0.3008756913758435,-0.015548013292070818,0.05638130283124103,0.06897693530366138,3.0982257242912254
5754999999,41.398916425942645,34.012661498206874,-2.020037566093726,-2.510606102788001,0.2981218917835788,-0.0156057456902709,0.05643783967602948,0.06930676420696619,3.0987698562917867
5759999999,41.38585788777446,34.01420525859343,-2.020119034074725,-2.503871757126723,0.2946826714470909,-0.01567774767091408,0.056507914796854034,0.06971653631740625,3.0994505537535093
5764999999,41.37283443669989,34.01573111534955,-2.0202008744635265,-2.4971326750214833,0.2912468971034954,-0.01574887605449148,0.056577393744681084,0.07012247994533657,3.1001319131642946
5769999999,41.35984609709096,34.01723908642039,-2.020283084566849,-2.4903889773624384,0.2878145689377435,-0.01581982393323985,0.0566462889133154,0.07052392752999126,3.1008138536624505
5774999999,41.346892892623,34.018729189769594,-2.0203656650239195,-2.483640803358958,0.284385693537283,-0.015891183903744065,0.056714565237928026,0.07092103594181634,3.101496260128933
5779999999,41.33655564181885,34.01990841979155,-2.0204319983121475,-2.478239120853983,0.28164508652570325,-0.015948924310665608,0.056768695526161296,0.07123616720205261,3.102042425022899
5784999999,41.32366573804919,34.021366406818075,-2.020515253651196,-2.471483247916775,0.2782225404432097,-0.016020911187768286,0.056835715902225005,0.07162751547036819,3.1027254992880486
5789999999,41.31081103165267,34.02280657759044,-2.020598881270645,-2.4647233457018016,0.27480364433413307,-0.01609200646111804,0.05690208529812483,0.07201498295995107,3.103409041534242
